NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.74214,0.06249,0.07995,0.24013,0.74173,0.06249,0.07996,0.24053,0.73329,0.06261,0.07984,0.24898
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.62783,0.12400,0.14990,0.17724,0.62749,0.12398,0.14993,0.17756,0.62035,0.12422,0.14970,0.18470
1.00000,0.57847,0.13094,0.19987,0.17725,0.57815,0.13093,0.19991,0.17754,0.57158,0.13117,0.19959,0.18419
1.00000,0.48022,0.17134,0.27255,0.15956,0.47996,0.17132,0.27260,0.15979,0.47450,0.17165,0.27217,0.16535
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.50243,0.16107,0.25726,0.15618,0.50216,0.16106,0.25731,0.15642,0.49645,0.16136,0.25690,0.16224
1.00000,0.44424,0.19542,0.28981,0.13952,0.44400,0.19540,0.28987,0.13973,0.43895,0.19577,0.28941,0.14487
1.00000,0.52920,0.14529,0.24227,0.13352,0.52892,0.14527,0.24232,0.13378,0.52290,0.14555,0.24193,0.13990
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.58366,0.11507,0.20986,0.16782,0.58335,0.11506,0.20991,0.16810,0.57671,0.11527,0.20957,0.17486
1.00000,0.54445,0.14241,0.22757,0.14678,0.54415,0.14240,0.22762,0.14704,0.53796,0.14267,0.22726,0.15332
1.00000,0.56674,0.11688,0.22757,0.13900,0.56643,0.11686,0.22762,0.13928,0.55999,0.11708,0.22726,0.14586
1.00000,0.60705,0.10812,0.18988,0.18322,0.60671,0.10811,0.18991,0.18352,0.59981,0.10832,0.18961,0.19052
1.00000,0.62075,0.10411,0.17810,0.15521,0.62042,0.10410,0.17814,0.15552,0.61336,0.10429,0.17786,0.16267
1.00000,0.53073,0.14830,0.23747,0.17044,0.53044,0.14829,0.23752,0.17070,0.52440,0.14857,0.23714,0.17683
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.58519,0.14128,0.18170,0.18717,0.58487,0.14127,0.18174,0.18747,0.57821,0.14153,0.18145,0.19414
1.00000,0.57032,0.12825,0.21198,0.16074,0.57000,0.12824,0.21203,0.16102,0.56352,0.12848,0.21169,0.16760
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.54344,0.14677,0.22434,0.12307,0.54314,0.14676,0.22439,0.12333,0.53697,0.14703,0.22403,0.12959
1.00000,0.58626,0.11209,0.20986,0.15025,0.58594,0.11208,0.20991,0.15054,0.57928,0.11229,0.20957,0.15733
1.00000,0.60968,0.11322,0.18170,0.11559,0.60935,0.11321,0.18174,0.11590,0.60241,0.11343,0.18145,0.12290
1.00000,0.59319,0.13392,0.17988,0.13645,0.59287,0.13390,0.17992,0.13675,0.58612,0.13415,0.17963,0.14353
1.00000,0.51958,0.16863,0.22985,0.14312,0.51930,0.16862,0.22990,0.14337,0.51339,0.16894,0.22953,0.14933
1.00000,0.55609,0.13129,0.22534,0.15422,0.55579,0.13128,0.22539,0.15450,0.54946,0.13152,0.22503,0.16093
1.00000,0.52651,0.15078,0.23984,0.12861,0.52622,0.15076,0.23989,0.12886,0.52024,0.15105,0.23951,0.13494
1.00000,0.44944,0.16963,0.30980,0.11868,0.44919,0.16961,0.30986,0.11888,0.44408,0.16993,0.30937,0.12416
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.55422,0.13888,0.21986,0.18190,0.55392,0.13886,0.21990,0.18217,0.54762,0.13912,0.21955,0.18856
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.68931,0.06349,0.13991,0.17440,0.68894,0.06348,0.13994,0.17475,0.68110,0.06360,0.13972,0.18269
1.00000,0.73736,0.06875,0.07916,0.14072,0.73696,0.06874,0.07917,0.14111,0.72857,0.06887,0.07905,0.14949
1.00000,0.72135,0.07638,0.08994,0.15684,0.72096,0.07637,0.08996,0.15723,0.71276,0.07652,0.08982,0.16543
1.00000,0.68514,0.08072,0.12737,0.17854,0.68476,0.08071,0.12739,0.17890,0.67697,0.08086,0.12719,0.18674
1.00000,0.68334,0.07170,0.13852,0.17787,0.68297,0.07169,0.13855,0.17822,0.67520,0.07182,0.13833,0.18607
1.00000,0.69192,0.08152,0.11873,0.14487,0.69154,0.08151,0.11876,0.14523,0.68367,0.08166,0.11857,0.15313
1.00000,0.71616,0.07241,0.09994,0.15328,0.71577,0.07241,0.09996,0.15366,0.70762,0.07254,0.09980,0.16182
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.65814,0.08928,0.14990,0.18555,0.65778,0.08927,0.14993,0.18589,0.65030,0.08944,0.14970,0.19344
1.00000,0.70649,0.08446,0.09895,0.16181,0.70611,0.08446,0.09897,0.16218,0.69808,0.08462,0.09881,0.17021
1.00000,0.61484,0.08928,0.19987,0.20577,0.61450,0.08927,0.19991,0.20608,0.60751,0.08944,0.19959,0.21322
1.00000,0.65248,0.10705,0.13852,0.14992,0.65212,0.10704,0.13855,0.15026,0.64470,0.10724,0.13833,0.15769
1.00000,0.55228,0.15689,0.20395,0.13870,0.55198,0.15688,0.20399,0.13897,0.54570,0.15717,0.20367,0.14528
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.59761,0.08152,0.22757,0.22496,0.59728,0.08151,0.22762,0.22525,0.59048,0.08166,0.22726,0.23225
1.00000,0.57414,0.10614,0.22985,0.22472,0.57382,0.10613,0.22990,0.22500,0.56730,0.10633,0.22953,0.23169
1.00000,0.62367,0.11723,0.16151,0.16220,0.62333,0.11722,0.16154,0.16252,0.61624,0.11744,0.16129,0.16964
1.00000,0.62571,0.10017,0.17636,0.18712,0.62536,0.10016,0.17639,0.18744,0.61825,0.10035,0.17611,0.19464
1.00000,0.66074,0.08630,0.14990,0.16251,0.66037,0.08629,0.14993,0.16284,0.65286,0.08646,0.14970,0.17043
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.64733,0.10313,0.14842,0.17715,0.64698,0.10312,0.14845,0.17748,0.63962,0.10331,0.14821,0.18488
1.00000,0.65034,0.09820,0.14990,0.17894,0.64999,0.09820,0.14993,0.17928,0.64259,0.09838,0.14970,0.18672
1.00000,0.65954,0.10621,0.13123,0.16098,0.65918,0.10620,0.13125,0.16132,0.65168,0.10640,0.13105,0.16883
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
